gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,2024 OPS,player_numeric
295,1,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,5,2,0,0,0,1,0,0,1.00,0,0,0,431168.0
709,726,539,272,102,9,31,438,176,1,646,34,.277,2331,.335,.369,.704,14,41,.745,78,9673,2559,859,231,920,6,12,.328,1.35,0,75.19,.786,921344.0
271,174,162,101,42,9,14,262,61,4,183,4,.236,776,.293,.367,.660,6,19,.760,6,3429,846,285,87,333,0,5,.335,1.07,0,55.43,0,242176.0
23,2,3,0,0,0,0,6,0,0,0,0,.000,11,.000,.000,.000,0,0,0,0,33,11,0,0,4,0,0,.000,0.67,0,0,0,13120.0
3,0,4,2,1,0,1,3,0,0,3,1,.300,10,.364,.700,1.064,0,0,0,0,47,11,7,1,7,0,0,.333,0.00,0,10.00,0,333696.0
25,0,0,0,1,0,0,3,0,0,1,0,.250,4,.250,.500,.750,0,0,0,0,16,4,2,1,1,0,0,1.000,0,0,0,0,402688.0
117,1,1,0,0,0,0,1,0,0,1,0,.333,3,.333,.333,.666,0,0,0,0,7,4,1,0,1,1,0,.500,1.00,0,0,0,514176.0
279,203,230,106,43,3,22,241,49,1,227,9,.253,896,.297,.382,.679,7,13,.650,16,3512,959,342,92,401,1,4,.322,0.88,0,40.73,.609,928832.0
379,355,316,209,106,23,35,379,104,2,385,15,.270,1426,.325,.450,.775,13,74,.851,12,5973,1555,642,153,472,1,8,.343,1.12,1,40.74,.834,249088.0
185,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138880.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159360.0
1026,552,1029,456,171,15,195,1074,247,8,771,49,.227,3393,.287,.459,.746,12,22,.647,44,14198,3723,1557,566,1670,0,33,.267,0.54,1,17.40,.568,232576.0
72,35,45,18,4,3,1,51,12,0,32,3,.201,159,.266,.283,.549,1,14,.933,2,687,178,45,13,78,1,3,.282,0.78,0,159.00,0,467648.0
658,726,666,379,128,21,67,443,165,4,648,33,.263,2462,.316,.414,.730,18,113,.863,34,9919,2681,1019,261,880,6,15,.295,1.09,0,36.75,.711,52416.0
198,0,0,1,0,0,0,3,0,0,0,0,.000,3,.000,.000,.000,0,0,0,0,12,3,0,0,4,0,0,0,0,0,0,0,255936.0
61,0,1,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,5,1,0,1,0,0,1,.000,0.00,0,0,0,629504.0
128,50,17,10,3,0,1,94,1,0,21,1,.126,167,.136,.162,.298,0,0,0,2,625,184,27,6,103,15,0,.278,2.94,0,167.00,0,374592.0
86,63,18,8,4,0,0,40,2,0,17,0,.135,126,.148,.167,.315,0,0,0,4,431,140,21,7,57,12,0,.198,3.50,0,0,0,771904.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248512.0
133,4,0,0,0,0,0,2,0,0,1,0,.143,7,.143,.143,.286,0,0,0,0,32,7,1,0,0,0,0,.200,4.00,0,0,0,784000.0
9,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270144.0
47,21,29,16,3,0,3,41,17,1,17,4,.157,108,.295,.269,.564,1,0,.000,1,562,129,29,10,55,0,0,.219,0.72,0,36.00,0,115136.0
58,53,31,20,8,0,8,66,8,0,42,0,.221,190,.250,.389,.639,0,3,1.000,3,829,200,74,33,83,0,2,.288,1.71,0,23.75,.702,921664.0
528,295,372,173,65,11,30,452,76,1,318,33,.224,1419,.279,.349,.628,18,47,.723,14,5892,1546,495,123,619,16,2,.307,0.79,0,47.30,0,895424.0
241,49,9,9,0,0,0,97,7,0,12,0,.078,153,.119,.078,.197,0,0,0,0,687,174,12,2,88,14,0,.214,5.44,0,0,0,423488.0
107,34,10,1,0,0,0,26,3,0,8,0,.111,72,.147,.111,.258,0,0,0,1,271,81,8,2,39,6,0,.174,3.40,0,0,0,550336.0
1554,1865,1657,670,249,58,45,864,253,17,1486,57,.258,5750,.295,.345,.640,45,178,.798,113,22570,6182,1986,478,2231,87,35,.296,1.13,0,127.78,0,354944.0
1364,1048,1471,593,247,46,164,1043,351,25,1185,23,.253,4691,.305,.430,.735,18,23,.561,64,19869,5121,2016,636,2094,14,42,.290,0.71,0,28.60,0,532288.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806144.0
483,376,443,160,71,1,20,206,110,3,364,8,.265,1371,.322,.363,.685,9,26,.743,31,5797,1507,497,146,611,9,9,.298,0.85,0,68.55,.651,228480.0
88,12,4,2,0,0,0,16,0,0,6,0,.176,34,.176,.176,.352,0,0,0,0,139,38,6,0,16,4,0,.333,3.00,0,0,0,471040.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918528.0
321,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826496.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704896.0
469,461,391,216,70,6,48,342,78,2,397,36,.251,1580,.300,.394,.694,15,52,.776,31,6122,1705,623,195,727,2,9,.291,1.18,0,32.92,.590,135232.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750784.0
223,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409024.0
259,124,149,85,29,4,18,173,51,0,122,16,.218,560,.300,.380,.680,6,24,.800,6,2355,635,213,66,218,5,3,.280,0.83,0,31.11,.654,397888.0
50,0,0,0,0,0,0,5,0,0,0,0,.000,5,.000,.000,.000,0,0,0,0,23,5,0,0,2,0,0,0,0,0,0,0,315456.0
507,1,0,0,0,0,0,2,0,0,2,0,.400,5,.400,.400,.800,0,0,0,0,14,5,2,1,1,0,0,.667,1.00,0,0,0,429248.0
417,0,0,0,0,0,0,3,0,0,1,0,.250,4,.250,.250,.500,0,0,0,0,17,4,1,0,2,0,0,1.000,0,0,0,.000,636736.0
729,492,565,223,97,7,55,437,121,4,493,55,.251,1966,.310,.391,.701,16,16,.500,54,8118,2163,769,260,860,3,18,.294,0.87,0,35.74,.646,352064.0
35,2,0,0,0,0,0,3,0,0,0,0,.000,4,.000,.000,.000,0,0,0,0,16,5,0,0,3,1,0,.000,2.00,0,0,0,519680.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146176.0
102,43,9,2,0,0,0,28,2,0,3,0,.042,71,.068,.042,.110,0,0,0,1,304,85,3,1,36,11,1,.068,4.78,0,0,0,165952.0
3,1,1,1,0,0,0,1,2,0,1,0,.250,4,.500,.250,.750,0,0,0,0,31,6,1,0,1,0,0,.333,1.00,0,0,0,906816.0
222,1,0,0,0,0,0,2,0,0,0,0,.000,3,.000,.000,.000,0,0,0,0,12,3,0,0,1,0,0,.000,1.00,0,0,0,886080.0
67,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,116288.0
202,2,0,1,1,0,0,3,0,0,2,0,.286,7,.286,.429,.715,0,0,0,1,27,7,3,0,1,0,0,.500,2.00,0,0,0,699328.0
199,171,148,72,24,1,16,127,38,1,161,4,.269,599,.314,.392,.706,1,2,.667,21,2552,649,235,71,256,2,6,.314,1.16,0,37.44,.685,965888.0
47,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,433024.0
89,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47488.0
83,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825856.0
301,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,998720.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171264.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461120.0
130,53,23,8,3,0,1,46,9,0,19,0,.154,123,.209,.203,.412,1,1,.500,0,586,150,25,7,60,16,2,.231,2.30,0,123.00,0,177600.0
55,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,710208.0
10,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894464.0
539,636,642,250,98,10,16,209,135,4,560,7,.276,2026,.323,.358,.681,7,29,.806,37,8012,2189,726,170,666,14,7,.301,0.99,0,126.62,.472,692224.0
108,5,4,0,1,0,0,7,0,0,3,0,.167,18,.167,.222,.389,0,0,0,0,60,19,4,0,7,1,0,.273,1.25,0,0,0,428352.0
1238,955,1411,487,203,5,160,601,300,10,1030,43,.261,3952,.317,.436,.753,3,6,.667,102,17195,4340,1723,559,1813,3,42,.269,0.68,0,24.70,.595,994112.0
84,46,46,23,11,3,4,82,26,0,41,4,.192,213,.291,.329,.620,1,8,.889,2,1009,245,70,22,89,1,1,.289,1.00,0,53.25,.631,241792.0
311,5,1,0,0,0,0,5,0,0,0,0,.000,10,.000,.000,.000,0,0,0,1,36,11,0,0,9,1,0,.000,5.00,0,0,0,394112.0
210,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,584256.0
252,150,195,84,22,1,37,203,78,3,141,14,.205,687,.298,.402,.700,0,0,0,11,3189,781,276,89,321,0,2,.232,0.77,0,18.57,.410,777856.0
311,245,290,109,34,2,23,158,49,0,195,17,.224,870,.277,.347,.624,6,10,.625,25,3336,954,302,89,358,11,7,.247,0.84,0,37.83,.577,114048.0
114,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905856.0
10,12,4,2,0,0,0,9,1,0,2,0,.080,25,.115,.080,.195,0,1,1.000,1,109,28,2,2,12,2,0,.125,3.00,0,0,0,263232.0
413,305,336,161,59,3,43,304,145,4,308,16,.248,1244,.332,.404,.736,16,59,.787,15,5438,1414,502,164,497,1,8,.293,0.91,0,28.93,.716,862720.0
727,692,712,323,135,4,76,531,190,4,682,109,.262,2599,.336,.405,.741,3,2,.400,85,10853,2917,1053,324,1071,0,18,.301,0.97,1,34.20,.670,569920.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114752.0
923,1016,942,364,163,4,130,569,221,39,809,16,.244,3309,.293,.414,.707,1,5,.833,106,12965,3573,1370,467,1463,0,27,.257,1.08,0,25.45,0,353728.0
265,329,286,164,61,14,30,139,92,4,292,5,.282,1037,.340,.454,.794,11,40,.784,25,4218,1143,471,130,414,0,9,.299,1.15,0,34.57,0,950400.0
1089,1019,1068,476,183,28,61,528,288,11,919,51,.263,3497,.327,.383,.710,32,58,.644,53,14730,3874,1341,347,1196,21,16,.293,0.95,1,57.33,.576,467840.0
280,170,186,114,45,6,29,269,102,1,190,11,.235,810,.327,.412,.739,4,12,.750,21,3836,928,334,101,368,0,5,.311,0.91,0,27.93,0,188224.0
215,51,15,12,4,0,1,102,8,0,22,0,.127,173,.165,.168,.333,0,0,0,1,695,198,29,8,90,16,1,.296,3.40,0,173.00,.000,107264.0
2046,1767,1977,1305,512,31,347,1645,1015,136,2279,108,.300,7606,.387,.512,.899,31,98,.760,159,34174,8791,3894,1243,2886,0,62,.340,0.89,0,21.92,.854,878336.0
213,183,176,81,24,1,11,97,44,1,126,27,.221,571,.304,.324,.628,6,18,.750,21,2428,653,185,54,245,5,6,.245,1.04,0,51.91,.626,987520.0
54,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,400128.0
180,55,17,20,7,0,0,40,10,0,27,0,.214,126,.272,.270,.542,0,0,0,0,573,149,34,9,60,13,0,.314,3.24,0,0,0,680512.0
332,272,396,163,43,15,41,200,105,1,294,30,.259,1136,.334,.431,.765,11,48,.814,6,4988,1297,490,159,398,11,15,.278,0.69,0,27.71,.690,723456.0
187,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315520.0
262,6,0,0,0,0,0,9,0,0,0,0,.000,14,.000,.000,.000,0,0,0,2,49,15,0,0,11,1,0,.000,6.00,0,0,0,247424.0
102,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,923392.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842240.0
227,149,169,47,33,0,7,137,38,0,119,5,.211,563,.266,.307,.573,1,0,.000,10,2369,618,173,46,241,7,4,.265,0.88,1,80.43,0,159104.0
311,2,1,0,0,0,0,1,0,0,0,0,.000,3,.000,.000,.000,0,0,0,0,12,4,0,0,1,1,0,.000,2.00,0,0,0,953536.0
148,25,6,4,2,0,0,26,1,0,8,0,.157,51,.173,.196,.369,0,0,0,1,220,66,10,4,31,14,0,.320,4.17,0,0,0,794688.0
939,386,639,463,107,10,208,1292,497,20,557,32,.194,2869,.319,.456,.775,10,33,.767,16,14343,3403,1308,453,1340,1,4,.254,0.60,0,13.79,.613,67200.0
723,486,490,283,112,15,41,571,243,9,516,14,.252,2046,.334,.382,.716,15,22,.595,29,9371,2320,781,204,754,6,11,.329,0.99,0,49.90,.717,850368.0
119,61,69,27,5,0,10,117,10,1,65,5,.211,308,.248,.325,.573,1,0,.000,11,1288,327,100,25,119,4,0,.304,0.88,0,30.80,.000,699008.0
1104,1111,788,496,154,17,140,1038,262,22,1038,59,.263,3949,.316,.417,.733,32,51,.614,105,15403,4298,1646,524,1687,0,26,.321,1.41,2,28.21,.635,98752.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614400.0
39,19,18,13,6,0,5,55,8,0,24,1,.207,116,.264,.388,.652,0,0,0,1,535,125,45,20,48,0,0,.339,1.06,0,23.20,0,139136.0
285,3,0,0,0,0,0,10,1,0,0,0,.000,12,.077,.000,.077,0,0,0,0,55,14,0,0,3,1,0,.000,3.00,0,0,0,526080.0
656,488,626,352,123,7,126,760,188,4,578,26,.238,2429,.297,.450,.747,17,65,.793,50,10584,2666,1093,395,1166,0,23,.289,0.78,0,19.28,.684,871488.0
8,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,738752.0
703,714,444,290,85,15,34,550,109,1,560,25,.253,2217,.293,.350,.643,17,64,.790,36,8466,2402,777,201,900,35,16,.319,1.61,0,65.21,0,564672.0
487,605,384,207,93,9,43,311,87,5,470,1,.268,1754,.301,.405,.706,16,38,.704,39,6537,1858,710,210,722,2,14,.302,1.58,0,40.79,.762,532096.0
394,2,0,0,0,0,0,1,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,11,3,0,0,1,1,0,.000,2.00,0,0,0,361472.0
69,5,0,0,0,0,0,1,0,0,0,0,.000,6,.000,.000,.000,0,0,0,0,14,6,0,0,4,0,0,.000,5.00,0,0,0,530560.0
314,341,298,153,54,9,13,237,91,0,290,2,.253,1145,.305,.350,.655,14,63,.818,18,4809,1259,401,120,414,5,16,.304,1.14,0,88.08,.613,692416.0
33,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,329280.0
241,2,0,0,0,0,0,1,0,0,0,0,.000,3,.000,.000,.000,0,0,0,1,9,3,0,0,6,0,0,.000,2.00,0,0,0,400960.0
158,72,82,50,17,0,19,117,21,1,78,5,.225,347,.277,.438,.715,0,1,1.000,4,1430,375,152,41,173,0,2,.277,0.88,0,18.26,0,835840.0
168,90,141,51,28,1,15,131,45,2,92,6,.205,448,.285,.373,.658,0,0,0,10,2002,506,167,54,185,3,3,.252,0.64,1,29.87,0,559872.0
235,14,3,1,1,0,0,7,0,0,1,0,.048,21,.048,.095,.143,0,0,0,3,78,25,2,1,15,4,0,.071,4.67,0,0,0,767296.0
65,4,1,1,0,0,0,4,0,0,2,0,.182,11,.182,.182,.364,0,0,0,0,39,11,2,0,1,0,0,.286,4.00,0,0,0,188480.0
118,42,83,55,26,0,14,109,30,0,87,4,.276,315,.341,.492,.833,2,6,.750,7,1382,361,155,53,126,0,6,.369,0.51,6,22.50,2.067,764544.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71360.0
581,342,505,258,88,6,97,565,242,3,431,24,.235,1831,.331,.449,.780,2,3,.600,39,8913,2110,822,283,794,1,11,.283,0.68,1,18.88,.627,89024.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282112.0
238,34,4,7,0,0,0,66,7,0,12,0,.109,110,.161,.109,.270,0,0,0,1,510,123,12,4,56,5,1,.267,8.50,0,0,0,543744.0
112,2,0,0,0,0,0,10,1,0,0,0,.000,11,.083,.000,.083,0,0,0,1,53,13,0,0,10,1,0,.000,2.00,0,0,0,340416.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975424.0
120,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889408.0
300,20,3,6,0,0,1,20,2,0,8,0,.167,48,.200,.229,.429,0,0,0,0,174,53,11,2,30,3,0,.259,6.67,0,48.00,0,318528.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367296.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159744.0
28,5,0,0,0,0,0,6,0,0,0,0,.000,9,.000,.000,.000,0,0,0,0,41,11,0,0,8,2,0,.000,5.00,0,0,0,86336.0
97,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849280.0
357,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880576.0
28,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254080.0
593,581,532,265,92,11,52,423,118,8,523,76,.258,2030,.320,.391,.711,16,107,.870,31,8537,2253,793,230,864,12,17,.300,1.09,0,39.04,.638,608960.0
238,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,719040.0
168,4,2,1,0,0,0,11,0,0,3,0,.167,18,.167,.167,.334,0,0,0,0,80,20,3,2,12,2,0,.429,2.00,0,0,0,888768.0
385,1,0,0,0,0,0,1,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,4,2,0,0,1,0,0,.000,1.00,0,0,0,69760.0
130,9,0,1,0,0,0,17,4,0,6,1,.194,31,.306,.194,.500,0,0,0,0,128,37,6,3,12,1,0,.429,9.00,0,0,0,396096.0
26,14,13,5,1,0,0,23,5,0,7,0,.123,57,.194,.140,.334,0,0,0,2,255,62,8,4,31,0,0,.206,1.08,0,0,0,616960.0
1953,1603,1674,1216,453,23,363,1900,1058,117,2092,50,.290,7213,.382,.510,.892,35,170,.829,169,34914,8397,3680,1196,2862,0,56,.345,0.96,20,19.87,.716,604608.0
